Sr_No,Date,StartUp,Vertical,SubVertical,Location,Investors,Round,Amount
1,2020-01-09,Byju’S,E-Tech,E-Learning,Bangalore,Tiger Global Management,Private Equity Round,1888.6
2,2020-01-13,Shuttl,Transportation,App Based Shuttle Service,Gurgaon,Susquehanna Growth Equity,Series C,76.00098454200001
3,2020-01-09,Mamaearth,E-Commerce,Retailer Of Baby And Toddler Products,Bangalore,Sequoia Capital India,Series B,173.36271498000002
4,2020-01-02,Wealth Bucket,Fintech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,28.329
5,2020-01-02,Fashor,Fashion And Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,16.9974
6,2020-01-13,Pando,Logistics,"Open-Market, Freight Management Platform",Chennai,Chiratae Ventures,Series A,84.98700000000001
7,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1416.4500000000003
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,56.658
9,2019-12-06,Cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,661.0100000000001
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,472.15
11,2019-12-13,Rivigo,Technology,Logistics Services And Solutions,Gurgaon,"Saif Partners, Spring Canter Investment Ltd.",Series F,188.86
12,2019-12-17,Healthians,B2B-Focused Foodtech Startup,Food Solutions For Corporate,Bangalore,"Paytm, Nptk, Sabre Partners  Neoplux",Series C,113.316
13,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,283.29
14,2019-12-16,Incred,Finance,Non-Banking Financial Company,Mumbai,Undisclosed,Debt Funding,55.7137
15,2019-12-14,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Round,18.886
16,2019-12-11,Rein Games,Gaming,Real Money Based Gaming Startup,Noida,Manipal Education  Medical Group (Memg),Seed Round,472.15
17,2019-12-20,Lenskart.Com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,Softbank Vision Fund,Series G,2181.333
18,2019-11-13,Freshworks,Software,Business And Customer Engagement Tools,San Francisco,"Sequoia, Capitalg, Accel",Series H,1416.4500000000003
19,2019-11-14,Misters,Health And Wellness,Men'S Health And Wellness Brand,Gurgaon,"Sauce.Vc, Rainforest Ventures",Series B,4.589298
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, Letsventure, Ps1 Venture  Globallogic Co-Founder Rajul Garg",Seed,14.1645
21,2019-11-17,Burger Singh,Food And Beverage,Indian Burger Brand,Gurgaon,Rb Investments,Venture,9.443
22,2019-11-18,Healthians,Health And Wellness,Healthcare Services,Gurgaon,"Dg Daiwa Ventures, Dg Incubation",Series B,113.316
23,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,245.518
24,2019-11-20,Aye Finance,Fintech,Financial Services To Msmes,Gurgaon,Fintech,Debt Funding,164.414575395
25,2019-11-12,Supergaming,Video Games,Social Gaming Platform,Pune,Dream Incubator,Seed Funding,12.275900000000002
26,2019-11-20,Clumio,Saas,Recovery Software,San Jose/,"Altimeter Capital, Sutter Hill Ventures",Series C,1274.805
27,2019-11-11,Ebikego,Last Mile Transportation,Electric Bike Rental,Amritsar,Startup Buddy,Seed,2.8329000000000004
28,2019-11-19,Digital Mall Asia,E-Commerce,Virtual E-Commerce Platform,New Delhi,Amour Infrastructure,Seed Funding,2077.46
29,2019-11-18,Medikabazaar,Healthcare,B2B Platform For Medical Supplies,Mumbai,"Ackermans & Van Haaren, Healthquad, Rebright Partners, Toppan Printing",Series B,149.1994
30,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter Sharing App,Bangalore,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2672.3690000000006
32,2019-11-25,Paytm,Fintech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,9443.0
33,2019-10-04,Dunzo,Customer,Delivery Service,Bangalore,Lightbox,Series D,424.93500000000006
34,2019-10-02,Udaan,B2B,Business Development,Bangalore,"Altimeter Capital, Dst Global",Series D,5524.155000000001
35,2019-10-21,The Man Company,Consumer Goods,Beauty And Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,9.443
36,2019-09-05,Fpl Technologies,Fintech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,42.493500000000004
37,2019-09-04,Cashflo,Fintech,Invoice Discounting Platform And Sme Lending Marketplace,Mumbai,Saif Partners,Series A,31.1619
38,2019-09-04,Digital F5,"Advertising, Marketing",Digital Marketing Firm,Mumbai,Tiw Private Equity,Private Equity Round,56.658
39,2019-09-04,3Rdflix,Saas,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,47.215
40,2019-09-04,75F,Iot,Building Automation System,Burnsville,Breakthrough Energy Ventures,Series A,169.97400000000002
41,2019-09-04,Myelin Foundry,Information Technology,Deep-Technology,Bangalore,Endiya Partners,Seed,9.443
42,2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,94.43
43,2019-09-04,Goqii,Health And Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman  Company Ltd (Bccl),Series C,4249.35
44,2019-09-03,Vyapar App,Accounting,Mobile-Based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,47.215
45,2019-08-01,Cardekho,E-Commerce,Automotive,Gurgaon,Sc Gg India Mobility Holdings Llc,Series C,188.86
46,2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,47.215
47,2019-08-01,Mypetrolpump,Retail,Fuel Delivery,Bangalore,Undisclosed,Seed Funding Round,15.1088
48,2019-08-01,Alteria Capital,Finance,Vc Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1322.0200000000002
49,2019-08-01,Pine Labs,Information Technology,Last-Mile Retail Transaction Technology,Noida,Pine Labs Pte Ltd,Corporate Round,359.58944
50,2019-08-12,Meesho,E-Commerce,Social Commerce,Bangalore,Naspers,Series D,1180.375
51,2019-08-13,Cars24,E-Commerce,Car Retail,Gurgaon,Ms Dhoni,Series D,103.87300000000002
52,2019-08-13,Uniphore,Customer,Conversational Ai,Palo Alto,March Capital Partners,Series C,481.593
53,2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,Xl Innovate,Series B,349.391
54,2019-08-23,Lo! Foods,Consumer Goods,Low Carb Food For Diabetics,Bangalore,"Rashmi Daga (Founder, Freshmenu), Raveen Sastry (Co-Founder, Myntra)  Mitesh Shah (Finance Chief, Bookmyshow)",Seed Round,4.7215
55,2019-08-23,Tala,Fintech,Digital Lending Platform,Santa Monica,Rps Ventures,Series D,1038.73
56,2019-08-22,Indwealth,Fintech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,141.645
57,2019-08-21,Hungerbox,Food And Beverage,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,62.22937
58,2019-08-23,Admitkard,Edtech,University Admissions,Noida,Growth Dna,Seed Round,9.443
59,2019-08-19,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,9.443
60,2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,661.0100000000001
61,2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bangalore,Westbridge Capital,Series B,36827.7
62,2019-07-02,Renewbuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, Iifl Wealth",Series B,179.41700000000003
63,2019-07-02,Atlan,Information Technology,Big Data,Singapore,Waterbridge Ventures,Pre-Series A,23.6075
64,2019-07-01,Wizcounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.3692350000000002
65,2019-07-03,Ola Cabs,Transport,Cabs,Bangalore,"Dig Investment Ab, Deshe Holdings, Samih Toukan  Hussam Khoury",Series J,9.443
66,2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,359.58944
67,2019-07-04,Daalchini Technologies,Food And Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,4.7215
68,2019-07-10,"""Byju\\'S""",Edtech,Education,Bangalore,Qatar Investment Authority,Private Equity Round,1416.4500000000003
69,2019-07-11,Moglix,E-Commerce,Industrial Tools And Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,566.58
70,2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,151.088
71,2019-07-10,Indus Os,Tech,Smartphone Operating System,Mumbai,Ventureast,Series B,54.29725
72,2019-07-10,Healthassure,Health Care,Primary Care Medical Network,Mumbai,Blume Ventures,Series A,23.6075
73,2019-07-09,House Of Msasaba,Luxury Label,Clothes And Apparel,Mumbai,Binny Bansal,Series A,9.443
74,2019-07-08,Board Infinity,Edtech,Full-Stack Career Platform,Mumbai,Multiple Angel Investors,Angel Round,3.0180300150000003
75,2019-06-05,Nobroker,E-Commerce,Real Estate,Bangalore,General Atlantic,Series C,481.593
76,2019-06-04,Bira91,Food And Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,94.43
78,2019-06-03,Avail Finance,Finance,Fintech,Bangalore,Matrix Partners,Series A,84.98700000000001
79,2019-06-04,Bharatpe,Finance,Fintech,New Delhi,Insight Partners,Series B,708.2250000000001
80,2019-06-04,Recykal,Waste Management,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries Director Ajay Parekh",pre-Series A,245.518
81,2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bangalore,Blume Ventures  Rtp Global,pre-Series A,23.6075
83,2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,Ian Fund,Series A,245.518
84,2019-06-06,Pratilipi,Digital Media,E-Books,Bangalore,Qiming Venture Partners,Series B,142.6790085
85,2019-06-10,Bolo App,Digital Media,Video Platform,Bangalore,Nexus Venture Partners,Seed Funding,4.0623786
86,2019-06-10,Okcredit,Fintech,Financial Services,Gurgaon,Tiger Global Management,Series A,146.3665
87,2019-06-06,Biz2Credit,Fintech,Online Lending Platform,New York,Westbridge Capital,Series B,491.036
88,2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Bangalore,Alteria Capital,Debt Funding,33.843712
89,2019-06-04,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,32.1062
90,2019-05-06,Ola Electric,Transport,Cabs,Bangalore,Tata Sons,Series A,9.443
91,2019-05-06,Saahas Zero Waste,Waste Management,Optimization,Bangalore,C4D Partners,Venture - Series Unknown,8.2021898
92,2019-05-05,Styledotme,E-Commerce,Fashion And Shopping,New Delhi,"Indian Angel Network  Other Angel Investors, Innov8 Founder Ritesh Malik, Josh Talks Founders Supriya Paul  Shobha Banga,  Former Hero Corporate President Rohit Chanana",Bridge Round,9.443
93,2019-05-01,Blackbuck,Transport,Logistics,Bangalore,"Goldman Sachs Investment Partners  Silicon Valley-Based Accel, Wellington, Sequoia Capital, B Capital, Lightstreet, Ss Capital  International Finance Corporation,",Series D,1416.4500000000003
94,2019-05-02,Zenoti,Saas,Beauty And Wellness Industry,Hyderabad,Tiger Global Management,Series C,472.15
95,2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bangalore,Sachin Bansal,Series C,481.593
96,2019-05-28,Freshvnf,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,1322.0200000000002
97,2019-05-30,Glowroad,E-Commerce,Retail,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,108.5945
98,2019-05-31,Bira91,Food And Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,52.88080000000001
99,2019-04-16,Kuvera,Finance,Wealth Management,Bangalore,Eight Roads,Series A,424.93500000000006
100,2019-04-12,Medlife,E-Commerce,Online Medicine,Bangalore,Prasid Uno Family Trust,Private Equity,160.531
101,2019-04-10,Kabadiwala,E-Commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, Abcom Investments, Parekh Marine Transport,",Private Equity,4.066769595
102,2019-04-13,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (Formerly Idg Ventures), 3One4 Capital, Lasmer Nv",Series B,33.913354125
103,2019-04-12,Azah,Health And Wellness,Organic Wellness,Gurgaon,Unnamed Angel Investors,Seed Funding,1.8886
104,2019-04-11,Setu,Fintech,Banking,Bangalore,Lightspeed India Partners,Seed Funding,33.0505
105,2019-04-10,Toppr,Edtech,E-Learning,Mumbai,Milestone,Debt and Preference capital,59.68750326
106,2019-04-10,Craftsvilla,E-Commerce,Fashion And Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,23.073923285000003
107,2019-04-10,Unacademy,Edtech,E-Learning,Bangalore,Kalyan Krishnamurthy,Seed/ Angel Funding,2.899001
108,2019-04-11,Clevertap,Saas,Mobile Analytics And Marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,245.518
109,2019-04-19,My Healthcare,E-Commerce,Software Solutions,Bengaluru/Gurugram,Sixth Sense Ventures,Series A,28.329
110,2019-04-19,Krazybee,E-Commerce,Lending Platform,Bangalore,"Bac Acquisitions, Unifi Aif, Brd Securities, Northern R Capital",Debt,9.443
111,2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurgaon,New Atlantic Ventures,Venture Round,47.215
112,2019-04-17,Increff,Technology,Supply-Chain Technology Solutions,Bangalore,"021 Capita, Binny Bansal",Series A,28.329
113,2019-02-01,Fleetx,Ai,Logistics,Gurgaon,India Quotient  Letsventure Angel Fund,Pre Series A,9.443
114,2019-02-08,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital  Temasek Holdings, Edbi, Burda Principal Investments,  Sofina",Series D,2134.118
115,2019-02-13,Nanoclean Global,Nanotechnology,Anti-Pollution,New Delhi,"Letsventure, Pitchright Venture, 91Springboard, Al Nour International Holdings  Mark V Investments",Series A,5.665800000000001
116,2018-02-14,Oyorooms,Hospitality,Budget Rooms,Gurgaon,Didi Chuxing,Equity,944.3
117,2019-01-03,Cardekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet Growth Investment Arm Capital G  Axis Bank",Series C,1038.73
118,2019-01-04,Vyome Therapeutics Inc.,Health And Wellness,Specialty Pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital  Kalaari Capital",Series D,207.74600000000004
119,2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-Banking Financial Company,Chennai,"Massif, A Dutch Government Fund",Debt-Funding,47.215
120,2018-12-04,Manch,Social Media,Hyperlocal Content,New Delhi,Stellaris Venture Partners,Seed Funding,6.610100000000001
121,2018-12-01,Urbanclap Technologies Pvt. Ltd,Services,Home Services Marketplace,New Delhi,Steadview Capital  Vy Capital.,Series D,472.15
122,2018-12-02,Guiddoo,Travel Tech,Platform For Travel Agents,Mumbai,Individual Investors,Pre-Series A,7.5544
123,2018-12-02,Career Anna,Online Education,"Video-Based Certification, Trainings",Gurgaon,Individual Investors,Pre-Series A,5.401396000000001
124,2018-12-04,Nagpur Wholesale,Online,Ecommerce,Nagpur,Omphalos Ventures India Llp,Seed Funding,1.3503490000000002
125,2018-12-06,Shopkirana,B2B,Ecommerce,Indore,"Info Edge, Aet Fund, Akatsuki  Incubate Fund From Japan  Better Capital Angellist Syndicate.",Seed Funding,18.886
126,2018-12-06,Buildsupply,"Saas, Ecommerce","Real Estate, Erp",Gurgaon,"Venture Highway, Gree Ventures, Space Matrix, Individual Investors",Series A,33.0505
127,2018-11-01,Godesi,Food And Beverage,Regional Flavours,Bangalore,Lead Angels Network,Seed/ Angel Funding,1.3125297850000002
128,2018-11-03,Veritas Finance Ltd.,Nbfc,Msme Finance,Chennai,"Norwest Venture Partners, Cdc Group, The Uk Development Finance Institution  P Surendra Pai",Series D,262.505957
129,2018-11-06,Meesho,Ecommerce,Social Commerce,Bangalore,"Shunwei Capital, Dst Partners  Rps Ventures",Series C,472.15
130,2018-11-08,Mobile Premier League,Gaming,Mobile E-Sports,Bangalore,Undisclosed,Series A,4.7215
131,2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"Rb Investments, Singapore",Equity,9.443
132,2018-11-12,Blackbuck,Food Tech,Pos For Online Ordering,New York/Bengaluru,Tiger Global,Series A,9.443
133,2018-11-12,Milkbasket,Food,Micro-Delivery Grocery Service,New Delhi,Mayfield Fund,Series B,12.275900000000002
134,2018-11-13,Driveu,Transport,On-Demand Drivers,Bangalore,Stevens Creek Ventures,Mezzanine,9.443
135,2018-11-14,Cleansecar,Services,Car Wash,Bangalore,Venture Catalysts,Seed/ Angel Funding,4.7215
136,2018-11-19,Automation Anywhere,Automation,Robotics,California,Softbank Vision Fund,Series B,2832.9000000000005
137,2018-11-20,Healthifyme,Health And Wellness,Wellness Coach,Bangalore,"Sistema Asia Fund, Vc Samsung Next, Chiratae Ventures, Inventus Capital, Blume Ventures  Innoven Capital.",Series B (Extension),56.658
138,2018-11-21,Genius Corner,Education,Personalized Learning,Noida,Individual Investors,Seed Funding,2.625154
139,2018-11-22,Aavishkaar-Intellecap Group,Investment,Sme Funding,Mumbai,Teachers Insurance  Annuity Association (Tiaa),Equity Based Funding,292.733
140,2018-11-22,Skillbox,Social Network,Art,Gurgaon,Individual Investors,Seed Funding,9.443
141,2018-11-23,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners  Kalaari Capital, Rajan Anan From Google, Dilip Khwelwal From Sap Labs India,  Amrish Rau From Payu India",Series A,32.1062
142,2018-11-24,Engineer.Ai,Software,Ai Platform,India/US,"Lakestar  Jungle Ventures, Softbank Deepcore.",Series A,278.5685
143,2018-11-25,Incred Finance,Finance,Sme Lending,India,"Paragon Partners, Individual Investors",Private Equity,396.60600000000005
144,2018-11-25,Roposo,Social Media,Video Sharing,New Delhi,Bertelsmann India Investments,Series B,16.0531
145,2018-10-01,Northmist,Fashion,Mens Wear,New Delhi,Prashant Jaiswal,Seed/ Angel Funding,9.443
146,2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian  Hivos-Triodos Fund",Seed/ Angel Funding,103.87300000000002
147,2018-10-04,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,77.4326
148,2018-10-05,Droom,Automobile,New And Used Cars Platform,Gurgaon,Zigexn,Series E,28.329
149,2018-10-11,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,37.772
150,2018-10-12,Blackbuck,Logistics Tech,Largest Trucking Platform,Bangalore,Sequoia Capital India,Private Funding,138.62324
151,2018-10-12,Letstransport,Logistics Tech,Book Trucks Online,Bangalore,Fosun International,Series C,113.316
152,2018-09-01,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema Jsfc  Tanncam Investment",Private Equity,330.50500000000005
153,2018-09-03,Udaan,B2B,Logistics And Shipping,Bangalore,Dst Global  Lightspeed Venture Partners\\Xe2\\X80\\X99 Global Fund.,Private Equity,2124.675
154,2018-09-03,Daily Hunt,Consumer Internet,News And Ebooks Mobile App,Bangalore,Falcon Edge,Private Equity,60.34077
155,2018-09-04,3Hcare,Healthcare,Healthcare Service Provider,New Delhi,Undisclosed,Seed / Angel Funding,9.443
156,2018-09-04,Happygoeasy,Consumer Internet,Online Travel Agecy,Gurgaon,"Korea Investment Partners (Kip), Samsung  China-Based Citic Capital  Others",Private Equity,9.443
157,2018-09-05,Nykaa,Consumer Internet,Online Marketplace For Multi-Brand Beauty Cosmetic And Wellness Products,Mumbai,Lighthouse,Private Equity,1484.4396000000002
158,2018-09-05,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,Kddi,Private Equity,9.443
159,2018-09-06,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital  Private Equity Firm Multiples Alternate Asset Management",Private Equity,944.3
160,2018-09-10,Mamaearth,Healthcare,Online Marketplace For Mother And Babycare Products,Gurgaon,Stellaris Ventures & Others,Private Equity,37.772
161,2018-09-11,Autogrid,Technology,Ai-Based Energy Optimisation And Control Provider,Bangalore,"Clp Holdings Group, Innogy, \\Xc3\\X98Rstead,  Tenaska",Private Equity,302.176
162,2018-09-11,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,Innoven Capital,Debt Funding,51.93650000000001
163,2018-09-11,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,47.215
164,2018-09-12,Kissht,Fin-Tech,Online Lending Platform,Mumbai,"Vertex Ventures Southeast Asia (Sea)  India  Sistema Asia Fund, Fosun Rz Capital, Ventureast,  Endiya Partners.\\N\\N",Private Equity,283.29
165,2018-08-01,Dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth  Artesian Venture Partners",Seed/ Angel Funding,3.7772
166,2018-08-01,Healthfin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners  Others",Seed/ Angel Funding,9.443
167,2018-08-02,Samosa Labs,Consumer Internet,Social Media And Chat Entertainment Platform,Hyderabad,Xiaomi  Sequoia Capital India,Private Equity,66.101
168,2018-08-03,Ziffyhomes,Consumer Internet,Online Home Rental Marketplace,Gurgaon,Y Combinator,Private Equity,1.13316
169,2018-08-07,My Omnamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals And Corporates,Mumbai,Undisclosed,Seed/ Angel Funding,9.443
170,2018-08-07,Shopx,Consumer Internet,Assisted E-Commerce Platform,Bangalore,Fung Strategic Holdings,Private Equity,330.50500000000005
171,2018-08-07,Makemytrip,Consumer Internet,Online Travel Aggregator,Gurgaon,Makemytrip Limited,Private Equity,94.43
172,2018-08-08,Hansel Io,Consumer Internet,Real-Time Mobile App Management,Bangalore,Vertex Ventures,Seed/ Angel Funding,37.772
173,2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bangalore,"Sequoia Capital India Advisors, Accel Partners  G Raghunan",Private Equity,115.2046
174,2018-08-08,Phone Pe,Consumer Internet,Upi Payments App,Bangalore,Flipkart,Private Equity,623.238
175,2018-08-09,Quizizz,Ed-Tech,E-Learning Platform,Bangalore,"Nexus Venture Partners, Prime Venture Partners  Others",Seed/ Angel Funding,28.329
176,2018-08-09,Happy Emi,Fin-Tech,Consumer Financing Platform,Bangalore,Aj Ventures  Jain International Trade Organisation (Jito),Seed/ Angel Funding,9.443
177,2018-08-13,Inthree,Consumer Internet,Rural E-Commerce Platform,Chennai,"Ventureast, Orios Venture Partners  The Ian Fund",Seed/ Angel Funding,37.772
178,2018-08-13,Observe Ai,Technology,Ai Based Solutions Platform,Bangalore,"Nexus Venture Partners, Mgv, Liquid 2 Ventures, Hack Vc, Emergent Ventures  Y Combinator",Private Equity,75.544
179,2018-08-16,Enakshi,Consumer Internet,Ai Based Solutions Platform,Ahmedabad,Undisclosed,Seed/ Angel Funding,1.084160273
180,2018-08-17,Eazydiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurgaon,Denlow Investment Trust  Beenext,Private Equity,55.24155
181,2018-08-20,Finzy,Finance,Online Loan Matchmaking Platform,Bangalore,Undisclosed,Seed / Angel Funding,9.443
182,2018-08-20,Rawpressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,45.32640000000001
183,2018-08-22,Pi Ventures,Technology,Applied Artificial Intelligence And Iot Focused Platform,Bangalore,Cdc Group Plc,Private Equity,56.658
184,2018-08-22,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurgaon,"Hyundai, Edelweiss  Beenext, Dream Incubator, Sunjay Kapoor  Telama Investment",Private Equity,134.75161
185,2018-08-26,Zestmoney,Consumer Internet,Online Lending Platform,Bangalore,"Xiaomi,Payu, Ribbit Capital  Omidyar Network",Private Equity,126.5362
186,2018-08-26,Shubh Loans,Fin-Tech,Customer Sourcing Platform,Bangalore,"Saama Capital, Sri Capital, Beenext,  Pravega Ventures",Private Equity,39.6606
187,2018-08-27,Myupchar,Healthcare,Local Language Health Content App,New Delhi,"Nexus Venture Partners, Omidyar Network  Shunwei Capital",Private Equity,47.215
188,2018-08-28,Narvar,It,Post-Purchase Customer Engagement Platform,Bangalore,Accel (Formerly Known As Accel Partners),Private Equity,28.329
189,2018-08-30,True North,Finance,Private Equity Firm,Mumbai,Undisclosed,Private Equity,5665.800000000001
190,2018-07-01,Leena Ai,Technology,Hr Virtual Agent For Employees,Gurgaon,Y Combinator,Seed/ Angel Funding,9.443
191,2018-07-02,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurgaon,Ajay Relan  Vinay Mittal,Seed/ Angel Funding,9.443
192,2018-07-04,Anchanto,It,E-Commerce Fulfilment Platform,Pune,Mdi Ventures & Telkom Indonesia,Private Equity,37.772
194,2018-07-06,Policybazaar,Consumer Internet,Online Insurance Selling Platform,Gurgaon,Info Edge (India) Ltd  Temasek,Private Equity,261.5711
195,2018-07-09,Zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bangalore,Info Edge (India) Ltd,Seed/ Angel Funding,4.15492
196,2018-07-09,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,10.387300000000002
197,2018-07-10,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurgaon,"Avtar Monga, Chief Operating Office At Idfc Bank, Aditya Malik & Others",Seed/ Angel Funding,4.126591
198,2018-07-10,Inicu,Healthcare,Med-Tech Platform Providing Care For Newborns,New Delhi,Venture Catalysts,Seed/ Angel Funding,9.443
199,2018-07-10,Kinara Capital,Finance,Lending Platform For Micro And Small Enterprises,Bangalore,Responsability,Private Equity,47.215
200,2018-07-10,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunan G,  Ramakant Sharma",Private Equity,47.215
201,2018-07-11,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base Of Pyramid Asia (Bopa) Pte Ltd,Private Equity,23.6075
202,2018-07-12,19Th Mile,It,Artificial Intelligence-Based Sales Acceleration Software Platform,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta  Others",Seed/ Angel Funding,1.69974
203,2018-07-12,5Th Vital,Healthcare,Home Diagnostics Services Provider,Bangalore,Br Capital  Others,Seed/ Angel Funding,4.7215
204,2018-07-13,Mengage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-Founders Lab  Others.",Seed/ Angel Funding,1.6525250000000002
205,2018-07-17,Ofbusiness,Finance,Online Lending Platform For Sme,Gurgaon,"Creation Investments, Falcon Edge, Matrix Partners India  Zodius Capital",Private Equity,273.847
206,2018-07-17,Cars24,Consumer Internet,Online Used Car Marketplace,Gurgaon,"Kingsway Fci Fund, Kck Global & Others",Private Equity,469.3171
207,2018-07-18,The Ken,Consumer Internet,Subscription-Only News Website,Bangalore,Omidyar Network & Others,Seed/ Angel Funding,14.1645
208,2018-07-19,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"Tpg Growth, The Rise Fund & Others",Private Equity,944.3
